ID_SERIE;TIPO_PROVA;DISCIPLINA;ID_SERIE_ITEM;ID_BLOCO;ID_POSICAO;ID_ITEM;ID_DESCRITOR_HABILIDADE;GABARITO
5;Prova Regular;LP;5;7;9;95021;D4;A
5;Prova Regular;LP;5;7;10;65113;D3;B
5;Prova Regular;LP;5;7;11;94893;D2;B
5;Macrotipo;MT;5;1;1;28202;D1;B
5;Macrotipo;MT;5;1;2;22404;D17;D
5;Macrotipo;MT;5;1;3;95297;D9;C
5;Macrotipo;MT;5;1;4;95029;D27;C
5;Macrotipo;MT;5;1;5;45382;D15;C
5;Macrotipo;MT;5;1;6;96007;D7;B
5;Macrotipo;MT;5;1;7;34780;D13;B
5;Macrotipo;MT;5;1;8;29540;D24;A
5;Macrotipo;MT;5;1;9;95713;D26;A
5;Macrotipo;MT;5;1;10;98336;D3;A
5;Macrotipo;MT;5;1;11;34802;D25;C
5;Macrotipo;MT;5;2;1;45994;D19;A
5;Macrotipo;MT;5;2;2;95348;D28;B
5;Macrotipo;MT;5;2;3;94994;D9;D
5;Macrotipo;MT;5;2;4;95220;D1;B
5;Macrotipo;MT;5;2;5;96174;D13;C
5;Macrotipo;MT;5;2;6;95322;D17;A
5;Macrotipo;MT;5;2;7;28250;D23;B
5;Macrotipo;MT;5;2;8;28704;D18;A
